Código,CCF,Empresas Afiliadas,Total Afiliados Cajas Compensacion Familiar,Trabajadores Afiliados Dependientes,Afiliados Facultativos Independientes,Afiliados Pensionados,Afiliados Fidelidad,No Afiliados con Derecho a Subsidio,Personas Cargo,Total Población Cubierta
2,Caja de Compensacion Familiar Camacol COMFAMILIAR CAMACOL,1268,21321,21282,39,0,0,0,31372,52693
3,Caja de Compensacion Familiar COMFENALCO ANTIOQUIA,19101,397399,384715,6646,1915,79,4044,448203,845602
4,Caja de Compensacion Familiar de Antioquia COMFAMA,89186,1107140,1065432,16434,4066,8297,12911,1348281,2455421
5,Caja de Compensación Familiar CAJACOPI BARRANQUILLA,2855,50026,49795,116,46,0,69,92669,142695
6,Caja de Compensacion Familiar de Barranquilla COMBARRANQUILLA,9462,151526,148192,1881,176,0,1277,192703,344229
7,Caja de Compensación Familiar COMFAMILIAR DEL ATLANTICO,12421,228760,222654,3019,1181,0,1906,301497,530257
8,Caja de Compensacion Familiar de Fenalco - Andi COMFENALCO CARTAGENA,17306,210216,207571,623,245,0,1777,279314,489530
9,Caja de Compensacion Familiar de Cartagena y Bolivar Comfamiliar,4330,52550,52443,104,3,0,0,70303,122853
10,Caja de Compensacion Familiar de Boyacá - COMFABOY,16071,175610,173174,338,87,1740,271,187970,363580
11,Caja de Compensacion Familiar de Caldas COMFAMILIARES,11483,155625,147315,527,2336,3581,1866,191419,347044
13,Caja de Compensacion Familiar del Caquetá - COMFACA,3051,29433,28788,152,23,0,470,45076,74509
14,Caja de Compensacion Familiar del Cauca - COMFACAUCA,6260,97768,95413,529,1,795,1030,168111,265879
15,Caja de Compensacion Familiar del Cesar COMFACESAR,6306,110836,108662,282,94,0,1798,221203,332039
16,Caja de Compensacion Familiar de Córdoba COMFACOR,6830,47319,47192,123,4,0,0,115920,163239
21,Caja de Compensacion Familiar CAFAM,44073,843180,673717,148156,8133,6013,7161,875879,1719059
22,Caja Colombiana de Subsidio Familiar COLSUBSIDIO,78188,1628370,1585448,15357,8950,6752,11863,1733948,3362318
24,Caja de Compensacion Familiar COMPENSAR,83940,1277812,1176765,59455,19982,5924,15686,1485281,2763093
26,Caja de Compensacion Familiar de Cundinamarca - COMFACUNDI,1927,34197,33714,12,471,0,0,38236,72433
29,Caja de Compensacion Familiar del Choco,1478,27637,26794,344,138,0,361,53020,80657
30,Caja de Compensacion Familiar de la Guajira - COMFAGUAJIRA,2413,48817,47685,213,20,0,899,85765,134582
32,Caja de Compensacion Familiar del Huila - COMFAMILIAR,10120,155049,103330,928,289,46927,3575,224059,379108
33,Caja de Compensacion Familiar del Magdalena,6696,102578,102263,137,54,124,0,189636,292214
34,Caja de Compensacion Familiar Regional del Meta COFREM,10397,194363,119381,735,187,68788,5272,179747,374110
35,Caja de Compensacion Familiar de Nariño,7080,97343,94722,221,281,20,2099,166422,263765
36,Caja de Compensacion Familiar del Oriente Colombiano COMFAORIENTE,5158,80386,54349,668,51,25267,51,138802,219188
37,Caja de Compensacion Familiar del Norte de Santander COMFANORTE,7743,121715,80762,393,48,40446,66,155332,277047
38,Caja de Compensacion Familiar de Barrancabermeja CAFABA,2018,25746,25735,10,1,0,0,34900,60646
39,Caja Santandereana de Subsidio Familiar CAJASAN,15132,163303,161199,1131,40,933,0,226284,389587
40,Caja de Compensacion Familiar COMFENALCO SANTANDER,18081,230591,228546,1094,252,697,2,260600,491191
41,Caja de Compensacion Familiar de Sucre,5360,41508,41484,23,1,0,0,71236,112744
43,Caja de Compensacion Familiar de Fenalco COMFENALCO QUINDIO,8333,83053,81193,1029,580,248,3,96840,179893
44,Caja de Compensacion Familiar de Risaralda- COMFAMILIAR RISARALDA,17512,171092,169069,160,143,1720,0,196117,367209
46,Caja de Compensacion Familiar del Sur del Tolima CAFASUR,562,5071,5045,26,0,0,0,10522,15593
48,Caja de Compensacion Familiar del Tolima COMFATOLIMA,3674,66383,66128,174,76,5,0,74124,140507
50,Caja de Compensacion Familiar de Fenalco del Tolima - COMFENALCO,7751,107939,105814,508,196,40,1381,129668,237607
56,Caja de Compensacion Familiar del Valle del Cauca - COMFENALCO VALLE,11521,298607,283140,1008,965,3390,10104,333570,632177
57,Caja de Compensacion Familiar del Valle del Cauca COMFAMILIAR ANDI - COMFANDI,43641,601644,588725,6989,5930,0,0,745207,1346851
63,Caja de Compensacion Familiar del Putumayo - COMFAMILIAR PUTUMAYO,1729,22809,22284,148,11,0,366,39104,61913
64,Caja de Compensación Familiar de San Andrés y Providencia Islas CAJASAI,1418,16229,16101,128,0,0,0,16375,32604
65,Caja de Compensacion Familiar del Amazonas CAFAMAZ,687,6141,5928,102,2,0,109,14982,21123
67,Caja de Compensacion Familiar de Arauca COMFIAR,2036,18201,17835,111,3,0,252,29535,47736
68,Caja de Compensacion Familiar Campesina COMCAJA,1389,10509,10497,12,0,0,0,16086,26595
69,Caja de Compensacion Familiar del Casanare - COMFACASANARE,4408,53866,52980,112,3,0,771,68291,122157
