Código,CCF,Empresas Afiliadas,Total Afiliados Cajas Compensacion Familiar,Trabajadores Afiliados Dependientes,Afiliados Facultativos Independientes,Afiliados Pensionados,Afiliados Fidelidad,No Afiliados con Derecho a Subsidio,Personas Cargo,Total Población Cubierta
2,Caja de Compensacion Familiar Camacol COMFAMILIAR CAMACOL,1232,21322,21281,41,0,0,0,31131,52453
3,Caja de Compensacion Familiar COMFENALCO ANTIOQUIA,19119,406681,393046,6674,1934,93,4934,458748,865429
4,Caja de Compensacion Familiar de Antioquia COMFAMA,90711,1118218,1075768,17337,4365,8809,11939,1363598,2481816
5,Caja de Compensación Familiar CAJACOPI BARRANQUILLA,2917,51336,51154,123,59,0,0,93644,144980
6,Caja de Compensacion Familiar de Barranquilla COMBARRANQUILLA,9711,150116,145539,1914,196,0,2467,195359,345475
7,Caja de Compensación Familiar COMFAMILIAR DEL ATLANTICO,12728,228755,222678,3029,1233,0,1815,302814,531569
8,Caja de Compensacion Familiar de Fenalco - Andi COMFENALCO CARTAGENA,18188,232998,213896,80,0,0,19022,282174,515172
9,Caja de Compensacion Familiar de Cartagena y Bolivar Comfamiliar,4433,53689,53391,283,15,0,0,74922,128611
10,Caja de Compensacion Familiar de Boyacá - COMFABOY,16394,175474,172787,420,100,1838,329,186384,361858
11,Caja de Compensacion Familiar de Caldas COMFAMILIARES,11794,160644,152143,590,2423,3761,1727,196134,356778
13,Caja de Compensacion Familiar del Caquetá - COMFACA,3094,28861,28220,149,26,0,466,45050,73911
14,Caja de Compensacion Familiar del Cauca - COMFACAUCA,6211,100882,98500,411,276,953,742,172830,273712
15,Caja de Compensacion Familiar del Cesar COMFACESAR,6455,111051,109127,309,100,0,1515,217204,328255
16,Caja de Compensacion Familiar de Córdoba COMFACOR,6693,116236,115967,266,3,0,0,125443,241679
21,Caja de Compensacion Familiar CAFAM,45239,844907,675332,149356,8500,6289,5430,882077,1726984
22,Caja Colombiana de Subsidio Familiar COLSUBSIDIO,80963,1695543,1652324,16564,9492,6989,10174,1781669,3477212
24,Caja de Compensacion Familiar COMPENSAR,86595,1242509,1133190,61361,20720,6216,21022,1504826,2747335
26,Caja de Compensacion Familiar de Cundinamarca - COMFACUNDI,1913,35170,34205,17,489,0,459,37500,72670
29,Caja de Compensacion Familiar del Choco,1506,21033,20226,359,139,0,309,47696,68729
30,Caja de Compensacion Familiar de la Guajira - COMFAGUAJIRA,2454,53164,52156,106,21,0,881,91210,144374
32,Caja de Compensacion Familiar del Huila - COMFAMILIAR,10051,158107,107460,875,286,46322,3164,227822,385929
33,Caja de Compensacion Familiar del Magdalena,6914,103371,102998,159,57,157,0,202457,305828
34,Caja de Compensacion Familiar Regional del Meta COFREM,10539,194516,122724,687,195,66268,4642,182326,376842
35,Caja de Compensacion Familiar de Nariño,7228,104182,101795,202,317,10,1858,174777,278959
36,Caja de Compensacion Familiar del Oriente Colombiano COMFAORIENTE,5124,81208,56423,566,53,23968,198,139646,220854
37,Caja de Compensacion Familiar del Norte de Santander COMFANORTE,8019,124400,84292,421,29,39536,122,149079,273479
38,Caja de Compensacion Familiar de Barrancabermeja CAFABA,2058,26333,25866,9,2,4,452,31119,57452
39,Caja Santandereana de Subsidio Familiar CAJASAN,15449,169470,166628,517,40,930,1355,216378,385848
40,Caja de Compensacion Familiar COMFENALCO SANTANDER,18481,240492,238391,1120,270,708,3,267002,507494
41,Caja de Compensacion Familiar de Sucre,5450,46055,45570,76,2,13,394,77141,123196
43,Caja de Compensacion Familiar de Fenalco COMFENALCO QUINDIO,8481,83465,81390,1151,663,256,5,99209,182674
44,Caja de Compensacion Familiar de Risaralda- COMFAMILIAR RISARALDA,15572,180360,178178,179,163,1840,0,205028,385388
46,Caja de Compensacion Familiar del Sur del Tolima CAFASUR,556,4942,4912,30,0,0,0,10198,15140
48,Caja de Compensacion Familiar del Tolima COMFATOLIMA,3801,66147,65844,209,86,8,0,73006,139153
50,Caja de Compensacion Familiar de Fenalco del Tolima - COMFENALCO,7901,109440,105047,516,197,45,3635,132293,241733
56,Caja de Compensacion Familiar del Valle del Cauca - COMFENALCO VALLE,11701,303022,286892,1161,1025,3355,10589,333559,636581
57,Caja de Compensacion Familiar del Valle del Cauca COMFAMILIAR ANDI - COMFANDI,45273,619702,605812,7602,6288,0,0,761011,1380713
63,Caja de Compensacion Familiar del Putumayo - COMFAMILIAR PUTUMAYO,1722,23394,22776,176,12,0,430,40759,64153
64,Caja de Compensación Familiar de San Andrés y Providencia Islas CAJASAI,1464,16480,16359,121,0,0,0,31313,47793
65,Caja de Compensacion Familiar del Amazonas CAFAMAZ,721,6152,5871,52,3,0,226,15254,21406
67,Caja de Compensacion Familiar de Arauca COMFIAR,1899,18065,17724,94,0,0,247,29700,47765
68,Caja de Compensacion Familiar Campesina COMCAJA,1456,11006,10994,12,0,0,0,16652,27658
69,Caja de Compensacion Familiar del Casanare - COMFACASANARE,4565,53987,52980,100,0,0,907,73178,127165
