Código,CCF,Empresas Afiliadas,Total Afiliados Cajas Compensacion Familiar,Trabajadores Afiliados Dependientes,Afiliados Facultativos Independientes,Afiliados Pensionados,Afiliados Fidelidad,No Afiliados con Derecho a Subsidio,Personas Cargo,Total Población Cubierta
2,Caja de Compensacion Familiar Camacol COMFAMILIAR CAMACOL,1213,19732,19676,56,0,0,0,29744,49476
3,Caja de Compensacion Familiar COMFENALCO ANTIOQUIA,19042,409046,393641,6974,1809,115,6507,458298,867344
4,Caja de Compensacion Familiar de Antioquia COMFAMA,91856,1116229,1059799,17828,4520,9315,24767,1320166,2436395
5,Caja de Compensación Familiar CAJACOPI BARRANQUILLA,2941,52005,51759,125,48,0,73,95029,147034
6,Caja de Compensacion Familiar de Barranquilla COMBARRANQUILLA,10005,149956,145026,2033,212,0,2685,193705,343661
7,Caja de Compensación Familiar COMFAMILIAR DEL ATLANTICO,13245,228786,222698,2721,1273,0,2094,302224,531010
8,Caja de Compensacion Familiar de Fenalco - Andi COMFENALCO CARTAGENA,19005,213365,209298,655,280,0,3132,280983,494348
9,Caja de Compensacion Familiar de Cartagena y Bolivar Comfamiliar,4524,56943,56867,72,4,0,0,79822,136765
10,Caja de Compensacion Familiar de Boyacá - COMFABOY,14889,181625,178843,476,107,1978,221,189815,371440
11,Caja de Compensacion Familiar de Caldas COMFAMILIARES,11830,155626,146592,945,2462,3740,1887,190211,345837
13,Caja de Compensacion Familiar del Caquetá - COMFACA,3106,29334,28586,168,26,0,554,45272,74606
14,Caja de Compensacion Familiar del Cauca - COMFACAUCA,6657,103353,99716,467,351,1079,1740,175435,278788
15,Caja de Compensacion Familiar del Cesar COMFACESAR,6512,109263,104740,289,93,0,4141,216335,325598
16,Caja de Compensacion Familiar de Córdoba COMFACOR,6538,116625,116359,263,3,0,0,130890,247515
21,Caja de Compensacion Familiar CAFAM,45042,838638,661011,154651,8744,6558,7674,813135,1651773
22,Caja Colombiana de Subsidio Familiar COLSUBSIDIO,83543,1688375,1639462,17520,9656,7172,14565,1797591,3485966
24,Caja de Compensacion Familiar COMPENSAR,86771,1216879,1106594,62993,21452,6538,19302,1470363,2687242
26,Caja de Compensacion Familiar de Cundinamarca - COMFACUNDI,1943,34101,32664,24,471,0,942,37920,72021
29,Caja de Compensacion Familiar del Choco,1570,21766,19076,425,126,0,2139,49844,71610
30,Caja de Compensacion Familiar de la Guajira - COMFAGUAJIRA,2466,52036,48699,97,18,0,3222,92011,144047
32,Caja de Compensacion Familiar del Huila - COMFAMILIAR,10207,160262,103762,980,310,48144,7066,229357,389619
33,Caja de Compensacion Familiar del Magdalena,7062,103991,103557,181,83,170,0,203625,307616
34,Caja de Compensacion Familiar Regional del Meta COFREM,10835,201354,149112,734,206,51302,0,220376,421730
35,Caja de Compensacion Familiar de Nariño,7322,103473,100276,196,251,8,2742,173462,276935
36,Caja de Compensacion Familiar del Oriente Colombiano COMFAORIENTE,4966,77102,57341,53,55,19596,57,129808,206910
37,Caja de Compensacion Familiar del Norte de Santander COMFANORTE,8249,124758,85244,460,44,38937,73,148790,273548
38,Caja de Compensacion Familiar de Barrancabermeja CAFABA,2040,26527,26420,10,22,1,74,31961,58488
39,Caja Santandereana de Subsidio Familiar CAJASAN,15902,173097,169850,594,43,3,2607,221811,394908
40,Caja de Compensacion Familiar COMFENALCO SANTANDER,18277,235464,233375,1168,196,722,3,256767,492231
41,Caja de Compensacion Familiar de Sucre,5225,50521,49737,108,9,18,649,78636,129157
43,Caja de Compensacion Familiar de Fenalco COMFENALCO QUINDIO,8557,85798,83579,1218,701,292,8,101151,186949
44,Caja de Compensacion Familiar de Risaralda- COMFAMILIAR RISARALDA,15638,177666,175352,204,162,1948,0,198346,376012
46,Caja de Compensacion Familiar del Sur del Tolima CAFASUR,549,4633,4601,32,0,0,0,9571,14204
48,Caja de Compensacion Familiar del Tolima COMFATOLIMA,3815,62741,62411,229,87,14,0,68367,131108
50,Caja de Compensacion Familiar de Fenalco del Tolima - COMFENALCO,7914,120963,118653,570,215,54,1471,141349,262312
56,Caja de Compensacion Familiar del Valle del Cauca - COMFENALCO VALLE,11777,304716,291047,5160,1108,3376,4025,329269,633985
57,Caja de Compensacion Familiar del Valle del Cauca COMFAMILIAR ANDI - COMFANDI,44663,617468,604098,7117,6253,0,0,743229,1360697
63,Caja de Compensacion Familiar del Putumayo - COMFAMILIAR PUTUMAYO,1820,24512,23441,167,12,0,892,42085,66597
64,Caja de Compensación Familiar de San Andrés y Providencia Islas CAJASAI,1489,17026,16901,125,0,0,0,32474,49500
65,Caja de Compensacion Familiar del Amazonas CAFAMAZ,629,5850,5475,52,1,0,322,14713,20563
67,Caja de Compensacion Familiar de Arauca COMFIAR,1857,18598,17660,103,0,0,835,30317,48915
68,Caja de Compensacion Familiar Campesina COMCAJA,1511,11429,11405,24,0,0,0,17376,28805
69,Caja de Compensacion Familiar del Casanare - COMFACASANARE,4593,52897,50642,191,2,0,2062,74194,127091
