Código,CCF,Empresas Afiliadas,Total Afiliados Cajas Compensacion Familiar,Trabajadores Afiliados Dependientes,Afiliados Facultativos Independientes,Afiliados Pensionados,Afiliados Fidelidad,No Afiliados con Derecho a Subsidio,Personas Cargo,Total Población Cubierta
2,Caja de Compensacion Familiar Camacol COMFAMILIAR CAMACOL,1291,20560,20510,50,0,0,0,30709,51269
3,Caja de Compensacion Familiar COMFENALCO ANTIOQUIA,19017,385685,368915,6500,1893,67,8310,434188,819873
4,Caja de Compensacion Familiar de Antioquia COMFAMA,86447,1065525,1012142,15870,3782,7901,25830,1312899,2378424
5,Caja de Compensación Familiar CAJACOPI BARRANQUILLA,2924,50174,49903,118,45,0,108,92827,143001
6,Caja de Compensacion Familiar de Barranquilla COMBARRANQUILLA,9416,141848,135595,1826,167,0,4260,201315,343163
7,Caja de Compensación Familiar COMFAMILIAR DEL ATLANTICO,12188,224292,215395,2896,1154,0,4847,291742,516034
8,Caja de Compensacion Familiar de Fenalco - Andi COMFENALCO CARTAGENA,16557,203152,198698,605,236,0,3613,290837,493989
9,Caja de Compensacion Familiar de Cartagena y Bolivar Comfamiliar,4287,53600,53489,99,12,0,0,70334,123934
10,Caja de Compensacion Familiar de Boyacá - COMFABOY,15444,170404,168204,202,163,1631,204,184044,354448
11,Caja de Compensacion Familiar de Caldas COMFAMILIARES,11237,145896,132957,446,2356,3470,6667,181996,327892
13,Caja de Compensacion Familiar del Caquetá - COMFACA,2894,27505,26139,131,21,0,1214,44029,71534
14,Caja de Compensacion Familiar del Cauca - COMFACAUCA,6356,91887,86940,397,1,712,3837,158042,249929
15,Caja de Compensacion Familiar del Cesar COMFACESAR,6128,110249,105993,289,89,0,3878,222101,332350
16,Caja de Compensacion Familiar de Córdoba COMFACOR,6829,105090,104817,267,6,0,0,112442,217532
21,Caja de Compensacion Familiar CAFAM,43150,810209,645503,138583,7837,5838,12448,829652,1639861
22,Caja Colombiana de Subsidio Familiar COLSUBSIDIO,76141,1545607,1485754,14564,9407,6602,29280,1642811,3188418
24,Caja de Compensacion Familiar COMPENSAR,79553,1239910,1131457,58194,19578,5678,25003,1453329,2693239
26,Caja de Compensacion Familiar de Cundinamarca - COMFACUNDI,1972,32693,32266,11,416,0,0,38450,71143
29,Caja de Compensacion Familiar del Choco,1428,26220,24777,321,126,0,996,52211,78431
30,Caja de Compensacion Familiar de la Guajira - COMFAGUAJIRA,2380,50245,47467,191,20,0,2567,87900,138145
32,Caja de Compensacion Familiar del Huila - COMFAMILIAR,9493,155992,97783,802,271,51236,5900,226412,382404
33,Caja de Compensacion Familiar del Magdalena,6574,98939,95519,127,32,0,3261,197518,296457
34,Caja de Compensacion Familiar Regional del Meta COFREM,10342,190865,113440,723,167,70862,5673,173981,364846
35,Caja de Compensacion Familiar de Nariño,6896,99499,94582,265,285,20,4347,169936,269435
36,Caja de Compensacion Familiar del Oriente Colombiano COMFAORIENTE,5123,80074,55016,659,50,24178,171,136755,216829
37,Caja de Compensacion Familiar del Norte de Santander COMFANORTE,7570,113950,77467,370,74,35963,76,143551,257501
38,Caja de Compensacion Familiar de Barrancabermeja CAFABA,2063,25259,25238,14,7,0,0,36151,61410
39,Caja Santandereana de Subsidio Familiar CAJASAN,14198,151938,150192,989,252,505,0,217007,368945
40,Caja de Compensacion Familiar COMFENALCO SANTANDER,17879,221852,219899,1026,239,687,1,261108,482960
41,Caja de Compensacion Familiar de Sucre,5080,41406,41393,13,0,0,0,66407,107813
43,Caja de Compensacion Familiar de Fenalco COMFENALCO QUINDIO,8300,81281,79539,942,522,276,2,94782,176063
44,Caja de Compensacion Familiar de Risaralda- COMFAMILIAR RISARALDA,17065,172205,170320,162,113,1610,0,196884,369089
46,Caja de Compensacion Familiar del Sur del Tolima CAFASUR,540,4962,4936,26,0,0,0,10517,15479
48,Caja de Compensacion Familiar del Tolima COMFATOLIMA,3637,68120,67863,182,71,4,0,75650,143770
50,Caja de Compensacion Familiar de Fenalco del Tolima - COMFENALCO,7628,101789,98086,457,176,32,3038,126146,227935
56,Caja de Compensacion Familiar del Valle del Cauca - COMFENALCO VALLE,11555,283851,264225,863,887,3411,14465,333579,617430
57,Caja de Compensacion Familiar del Valle del Cauca COMFAMILIAR ANDI - COMFANDI,42218,556795,545072,6146,5577,0,0,706519,1263314
63,Caja de Compensacion Familiar del Putumayo - COMFAMILIAR PUTUMAYO,1757,22169,21031,128,9,0,1001,38351,60520
64,Caja de Compensación Familiar de San Andrés y Providencia Islas CAJASAI,1596,16453,16306,147,0,0,0,16375,32828
65,Caja de Compensacion Familiar del Amazonas CAFAMAZ,656,5899,5562,91,2,0,244,14550,20449
67,Caja de Compensacion Familiar de Arauca COMFIAR,1932,20511,16371,111,3,0,4026,37392,57903
68,Caja de Compensacion Familiar Campesina COMCAJA,1333,10047,10043,4,0,0,0,15712,25759
69,Caja de Compensacion Familiar del Casanare - COMFACASANARE,4342,52051,50129,110,5,0,1807,68070,120121
