Código,CCF,Empresas Afiliadas,Total Afiliados Cajas Compensacion Familiar,Trabajadores Afiliados Dependientes,Afiliados Facultativos Independientes,Afiliados Pensionados,Afiliados Fidelidad,No Afiliados con Derecho a Subsidio,Personas Cargo,Total Población Cubierta
2,Caja de Compensacion Familiar Camacol COMFAMILIAR CAMACOL,92482,19749,19693,56,0,0,0,29176,48925
3,Caja de Compensacion Familiar COMFENALCO ANTIOQUIA,88184,404544,390605,6910,1782,143,5104,457204,861748
4,Caja de Compensacion Familiar de Antioquia COMFAMA,85367,1126946,1081783,18235,4770,9628,12530,1300559,2427505
5,Caja de Compensación Familiar CAJACOPI BARRANQUILLA,45664,51666,51089,124,48,0,405,93303,144969
6,Caja de Compensacion Familiar de Barranquilla COMBARRANQUILLA,45101,150775,147499,815,215,0,2246,194052,344827
7,Caja de Compensación Familiar COMFAMILIAR DEL ATLANTICO,19459,228342,222194,2719,1302,0,2127,302700,531042
8,Caja de Compensacion Familiar de Fenalco - Andi COMFENALCO CARTAGENA,19220,197232,192018,678,291,0,4245,268109,465341
9,Caja de Compensacion Familiar de Cartagena y Bolivar Comfamiliar,18532,54839,54744,91,4,0,0,80621,135460
10,Caja de Compensacion Familiar de Boyacá - COMFABOY,16110,174735,171800,464,101,2020,350,183301,358036
11,Caja de Compensacion Familiar de Caldas COMFAMILIARES,16093,153163,144078,719,2499,3861,2006,187064,340227
13,Caja de Compensacion Familiar del Caquetá - COMFACA,14898,28921,28297,157,26,0,441,44792,73713
14,Caja de Compensacion Familiar del Cauca - COMFACAUCA,13260,101886,98886,509,392,1141,958,173103,274989
15,Caja de Compensacion Familiar del Cesar COMFACESAR,11828,110823,108114,343,86,0,2280,216426,327249
16,Caja de Compensacion Familiar de Córdoba COMFACOR,11706,112397,112113,279,5,0,0,115366,227763
21,Caja de Compensacion Familiar CAFAM,10865,828543,650880,155201,8862,6708,6892,797915,1626458
22,Caja Colombiana de Subsidio Familiar COLSUBSIDIO,10244,1663444,1613324,18144,9739,7282,14955,1787834,3451278
24,Caja de Compensacion Familiar COMPENSAR,9870,1255588,1134614,65503,21610,6640,27221,1500512,2756100
26,Caja de Compensacion Familiar de Cundinamarca - COMFACUNDI,8676,34313,33126,31,487,0,669,36516,70829
29,Caja de Compensacion Familiar del Choco,8473,25650,24644,555,127,0,324,47778,73428
30,Caja de Compensacion Familiar de la Guajira - COMFAGUAJIRA,8025,50223,49234,85,15,0,889,87460,137683
32,Caja de Compensacion Familiar del Huila - COMFAMILIAR,7464,162083,111575,932,272,46283,3021,230075,392158
33,Caja de Compensacion Familiar del Magdalena,7087,102244,101721,191,100,182,50,200688,302932
34,Caja de Compensacion Familiar Regional del Meta COFREM,7061,202943,155740,797,204,35266,10936,238665,441608
35,Caja de Compensacion Familiar de Nariño,6800,103372,99468,202,340,8,3354,173762,277134
36,Caja de Compensacion Familiar del Oriente Colombiano COMFAORIENTE,6548,78125,57412,57,58,20481,117,131403,209528
37,Caja de Compensacion Familiar del Norte de Santander COMFANORTE,5360,124103,79518,499,51,43838,197,147037,271140
38,Caja de Compensacion Familiar de Barrancabermeja CAFABA,4927,26980,26959,7,6,0,8,32870,59850
39,Caja Santandereana de Subsidio Familiar CAJASAN,4678,164774,162142,646,44,4,1938,214588,379362
40,Caja de Compensacion Familiar COMFENALCO SANTANDER,4550,222264,220107,1196,204,731,26,240882,463146
41,Caja de Compensacion Familiar de Sucre,3870,48041,47351,120,9,20,541,76085,124126
43,Caja de Compensacion Familiar de Fenalco COMFENALCO QUINDIO,3142,83102,80665,1297,777,344,19,97815,180917
44,Caja de Compensacion Familiar de Risaralda- COMFAMILIAR RISARALDA,3009,174624,172155,236,157,2076,1,196095,370719
46,Caja de Compensacion Familiar del Sur del Tolima CAFASUR,2463,4550,4515,34,0,0,0,9351,13901
48,Caja de Compensacion Familiar del Tolima COMFATOLIMA,1993,62366,62017,243,89,17,0,68461,130827
50,Caja de Compensacion Familiar de Fenalco del Tolima - COMFENALCO,1988,121844,120043,593,220,55,933,141825,263669
56,Caja de Compensacion Familiar del Valle del Cauca - COMFENALCO VALLE,1960,299461,286919,4333,1150,3389,3670,324358,623819
57,Caja de Compensacion Familiar del Valle del Cauca COMFAMILIAR ANDI - COMFANDI,1859,603260,589677,7272,6311,0,0,720149,1323409
63,Caja de Compensacion Familiar del Putumayo - COMFAMILIAR PUTUMAYO,1588,23638,23024,191,12,0,411,39945,63583
64,Caja de Compensación Familiar de San Andrés y Providencia Islas CAJASAI,1527,16548,16406,142,0,0,0,31126,47674
65,Caja de Compensacion Familiar del Amazonas CAFAMAZ,1504,6129,5906,56,1,0,166,14995,21124
67,Caja de Compensacion Familiar de Arauca COMFIAR,1238,18309,17863,129,1,0,316,29909,48218
68,Caja de Compensacion Familiar Campesina COMCAJA,665,11149,11126,23,0,0,0,16616,27765
69,Caja de Compensacion Familiar del Casanare - COMFACASANARE,561,51113,49779,189,3,0,1142,69802,120915
