Código,CCF,Empresas Afiliadas,Total Afiliados Cajas Compensacion Familiar,Trabajadores Afiliados Dependientes,Afiliados Facultativos Independientes,Afiliados Pensionados,Afiliados Fidelidad,No Afiliados con Derecho a Subsidio,Personas Cargo,Total Población Cubierta
2,Caja de Compensacion Familiar Camacol COMFAMILIAR CAMACOL,1216,21002,20961,41,0,0,0,30800,51802
3,Caja de Compensacion Familiar COMFENALCO ANTIOQUIA,19029,409256,396448,6606,1935,89,4178,457256,866512
4,Caja de Compensacion Familiar de Antioquia COMFAMA,89992,1109028,1066930,16880,4274,8683,12261,1353800,2462828
5,Caja de Compensación Familiar CAJACOPI BARRANQUILLA,2895,51133,50869,119,57,0,88,93862,144995
6,Caja de Compensacion Familiar de Barranquilla COMBARRANQUILLA,9797,149248,144627,1908,192,0,2521,194705,343953
7,Caja de Compensación Familiar COMFAMILIAR DEL ATLANTICO,12594,230381,224635,3035,1220,0,1491,304102,534483
8,Caja de Compensacion Familiar de Fenalco - Andi COMFENALCO CARTAGENA,17998,215663,212612,625,244,0,2182,282128,497791
9,Caja de Compensacion Familiar de Cartagena y Bolivar Comfamiliar,4409,53382,53263,116,3,0,0,72210,125592
10,Caja de Compensacion Familiar de Boyacá - COMFABOY,16540,176587,174020,400,100,1814,253,187332,363919
11,Caja de Compensacion Familiar de Caldas COMFAMILIARES,11669,157216,148490,586,2401,3717,2022,193185,350401
13,Caja de Compensacion Familiar del Caquetá - COMFACA,3109,29188,28402,164,25,0,597,45576,74764
14,Caja de Compensacion Familiar del Cauca - COMFACAUCA,6159,100306,97665,388,254,921,1078,171991,272297
15,Caja de Compensacion Familiar del Cesar COMFACESAR,6420,111315,108318,287,96,0,2614,218422,329737
16,Caja de Compensacion Familiar de Córdoba COMFACOR,6559,115431,115168,259,4,0,0,125295,240726
21,Caja de Compensacion Familiar CAFAM,44779,841604,669880,149994,8415,6227,7088,870677,1712281
22,Caja Colombiana de Subsidio Familiar COLSUBSIDIO,80295,1675462,1628737,16248,9475,6940,14062,1756956,3432418
24,Caja de Compensacion Familiar COMPENSAR,85753,1290802,1200491,60400,20395,6150,3366,1527034,2817836
26,Caja de Compensacion Familiar de Cundinamarca - COMFACUNDI,1932,34456,33522,15,490,0,429,37172,71628
29,Caja de Compensacion Familiar del Choco,1498,20994,20168,357,133,0,336,47838,68832
30,Caja de Compensacion Familiar de la Guajira - COMFAGUAJIRA,2428,52021,51083,106,21,0,811,89180,141201
32,Caja de Compensacion Familiar del Huila - COMFAMILIAR,9942,156243,106292,843,266,45715,3127,226041,382284
33,Caja de Compensacion Familiar del Magdalena,6856,102371,101999,156,66,150,0,201243,303614
34,Caja de Compensacion Familiar Regional del Meta COFREM,10429,196261,124699,648,187,67059,3668,184683,380944
35,Caja de Compensacion Familiar de Nariño,7193,101448,98357,211,312,10,2558,172006,273454
36,Caja de Compensacion Familiar del Oriente Colombiano COMFAORIENTE,5194,80472,54801,672,52,24847,100,138799,219271
37,Caja de Compensacion Familiar del Norte de Santander COMFANORTE,7920,122360,80128,424,29,41652,127,154398,276758
38,Caja de Compensacion Familiar de Barrancabermeja CAFABA,2020,26475,25955,8,3,0,509,31365,57840
39,Caja Santandereana de Subsidio Familiar CAJASAN,14850,165706,164069,501,40,921,175,217993,383699
40,Caja de Compensacion Familiar COMFENALCO SANTANDER,18316,237660,235583,1090,271,707,9,264667,502327
41,Caja de Compensacion Familiar de Sucre,5441,45583,45027,65,1,0,490,75780,121363
43,Caja de Compensacion Familiar de Fenalco COMFENALCO QUINDIO,8419,82816,80794,1104,645,264,9,98307,181123
44,Caja de Compensacion Familiar de Risaralda- COMFAMILIAR RISARALDA,15599,173966,171848,172,155,1791,0,197249,371215
46,Caja de Compensacion Familiar del Sur del Tolima CAFASUR,559,5177,5153,24,0,0,0,10825,16002
48,Caja de Compensacion Familiar del Tolima COMFATOLIMA,3700,63855,63562,206,81,6,0,72684,136539
50,Caja de Compensacion Familiar de Fenalco del Tolima - COMFENALCO,7877,108528,103828,505,193,43,3959,131914,240442
56,Caja de Compensacion Familiar del Valle del Cauca - COMFENALCO VALLE,11617,301404,285581,1144,1015,3335,10329,333148,634552
57,Caja de Compensacion Familiar del Valle del Cauca COMFAMILIAR ANDI - COMFANDI,44886,614067,600529,7371,6167,0,0,757067,1371134
63,Caja de Compensacion Familiar del Putumayo - COMFAMILIAR PUTUMAYO,1768,23975,23432,166,12,0,365,40849,64824
64,Caja de Compensación Familiar de San Andrés y Providencia Islas CAJASAI,1448,16326,16203,123,0,0,0,30978,47304
65,Caja de Compensacion Familiar del Amazonas CAFAMAZ,706,6203,5882,96,3,0,222,15225,21428
67,Caja de Compensacion Familiar de Arauca COMFIAR,1846,18052,17716,97,0,0,239,29374,47426
68,Caja de Compensacion Familiar Campesina COMCAJA,1419,10961,10953,8,0,0,0,16584,27545
69,Caja de Compensacion Familiar del Casanare - COMFACASANARE,4425,52834,51899,93,1,0,841,71190,124024
