Código,CCF,Empresas Afiliadas,Total Afiliados Cajas Compensacion Familiar,Trabajadores Afiliados Dependientes,Afiliados Facultativos Independientes,Afiliados Pensionados,Afiliados Fidelidad,No Afiliados con Derecho a Subsidio,Personas Cargo,Total Población Cubierta
2,Caja de Compensacion Familiar Camacol COMFAMILIAR CAMACOL,1221,21019,20956,63,0,0,0,30736,51755
3,Caja de Compensacion Familiar COMFENALCO ANTIOQUIA,19048,404226,391052,6613,1930,83,4548,454038,858264
4,Caja de Compensacion Familiar de Antioquia COMFAMA,89662,1112769,1071341,16858,4164,8556,11850,1353950,2466719
5,Caja de Compensación Familiar CAJACOPI BARRANQUILLA,2873,51186,51017,119,50,0,0,93592,144778
6,Caja de Compensacion Familiar de Barranquilla COMBARRANQUILLA,9698,148806,144697,1902,184,0,2023,192633,341439
7,Caja de Compensación Familiar COMFAMILIAR DEL ATLANTICO,12550,229241,223187,3025,1201,0,1828,302195,531436
8,Caja de Compensacion Familiar de Fenalco - Andi COMFENALCO CARTAGENA,17753,215798,213494,622,240,0,1442,283140,498938
9,Caja de Compensacion Familiar de Cartagena y Bolivar Comfamiliar,4383,52864,52750,111,3,0,0,71399,124263
10,Caja de Compensacion Familiar de Boyacá - COMFABOY,16416,176653,174137,383,101,1789,243,187723,364376
11,Caja de Compensacion Familiar de Caldas COMFAMILIARES,11674,157025,148666,564,2380,3665,1750,193097,350122
13,Caja de Compensacion Familiar del Caquetá - COMFACA,3114,30429,29887,163,25,0,354,45881,76310
14,Caja de Compensacion Familiar del Cauca - COMFACAUCA,6052,100432,98093,376,237,880,846,171787,272219
15,Caja de Compensacion Familiar del Cesar COMFACESAR,6388,111098,108649,278,94,0,2077,216366,327464
16,Caja de Compensacion Familiar de Córdoba COMFACOR,6629,114424,114154,262,8,0,0,122440,236864
21,Caja de Compensacion Familiar CAFAM,44700,843204,671152,149643,8315,6153,7941,878746,1721950
22,Caja Colombiana de Subsidio Familiar COLSUBSIDIO,79567,1661935,1620318,15835,9250,6838,9694,0,1661935
24,Caja de Compensacion Familiar COMPENSAR,85650,1288014,1187088,60262,20367,6073,14224,1513360,2801374
26,Caja de Compensacion Familiar de Cundinamarca - COMFACUNDI,1935,34242,32789,15,483,0,955,38208,72450
29,Caja de Compensacion Familiar del Choco,1500,22449,21729,351,142,0,227,50710,73159
30,Caja de Compensacion Familiar de la Guajira - COMFAGUAJIRA,2420,51021,50235,92,21,0,673,87978,138999
32,Caja de Compensacion Familiar del Huila - COMFAMILIAR,9982,156832,108088,959,299,44949,2537,226401,383233
33,Caja de Compensacion Familiar del Magdalena,6863,102402,102043,150,63,146,0,201039,303441
34,Caja de Compensacion Familiar Regional del Meta COFREM,10361,196081,124269,688,193,67719,3212,183456,379537
35,Caja de Compensacion Familiar de Nariño,7202,103239,98264,209,289,13,4464,177769,281008
36,Caja de Compensacion Familiar del Oriente Colombiano COMFAORIENTE,5202,80677,54986,675,51,24862,103,138722,219399
37,Caja de Compensacion Familiar del Norte de Santander COMFANORTE,7841,122664,82604,415,34,36329,3282,155935,278599
38,Caja de Compensacion Familiar de Barrancabermeja CAFABA,2005,26209,26197,10,2,0,0,31468,57677
39,Caja Santandereana de Subsidio Familiar CAJASAN,15104,166865,163908,459,38,922,1538,226050,392915
40,Caja de Compensacion Familiar COMFENALCO SANTANDER,18344,236930,234861,1102,257,704,6,264037,500967
41,Caja de Compensacion Familiar de Sucre,5365,44734,44225,46,1,0,462,75167,119901
43,Caja de Compensacion Familiar de Fenalco COMFENALCO QUINDIO,8343,83093,81117,1089,622,257,8,98107,181200
44,Caja de Compensacion Familiar de Risaralda- COMFAMILIAR RISARALDA,15454,177810,175732,169,153,1756,0,202744,380554
46,Caja de Compensacion Familiar del Sur del Tolima CAFASUR,561,5228,5200,28,0,0,0,10981,16209
48,Caja de Compensacion Familiar del Tolima COMFATOLIMA,3668,65246,64957,205,78,6,0,73368,138614
50,Caja de Compensacion Familiar de Fenalco del Tolima - COMFENALCO,7766,108494,103900,497,191,41,3865,131984,240478
56,Caja de Compensacion Familiar del Valle del Cauca - COMFENALCO VALLE,11636,300497,284719,1088,1006,3391,10293,333694,634191
57,Caja de Compensacion Familiar del Valle del Cauca COMFAMILIAR ANDI - COMFANDI,44691,614418,601139,7196,6083,0,0,757264,1371682
63,Caja de Compensacion Familiar del Putumayo - COMFAMILIAR PUTUMAYO,1745,23321,22683,163,12,0,463,40254,63575
64,Caja de Compensación Familiar de San Andrés y Providencia Islas CAJASAI,1488,14778,14124,82,10,0,562,20476,35254
65,Caja de Compensacion Familiar del Amazonas CAFAMAZ,698,6190,5959,97,3,0,131,15221,21411
67,Caja de Compensacion Familiar de Arauca COMFIAR,1945,18147,17800,101,1,0,245,29499,47646
68,Caja de Compensacion Familiar Campesina COMCAJA,1419,11049,11039,10,0,0,0,16614,27663
69,Caja de Compensacion Familiar del Casanare - COMFACASANARE,4510,55223,54155,99,3,0,966,73483,128706
