Código,CCF,Empresas Afiliadas,Total Afiliados Cajas Compensacion Familiar,Trabajadores Afiliados Dependientes,Afiliados Facultativos Independientes,Afiliados Pensionados,Afiliados Fidelidad,No Afiliados con Derecho a Subsidio,Personas Cargo,Total Población Cubierta
2,Caja de Compensacion Familiar Camacol COMFAMILIAR CAMACOL,1276,21637,21595,42,0,0,0,31189,52826
3,Caja de Compensacion Familiar COMFENALCO ANTIOQUIA,19273,400939,388395,6874,1901,77,3692,446791,847730
4,Caja de Compensacion Familiar de Antioquia COMFAMA,88612,1104820,1064511,16195,3985,8182,11947,1345294,2450114
5,Caja de Compensación Familiar CAJACOPI BARRANQUILLA,2835,49683,49432,116,46,0,89,92478,142161
6,Caja de Compensacion Familiar de Barranquilla COMBARRANQUILLA,9556,144354,140588,1880,173,0,1713,188343,332697
7,Caja de Compensación Familiar COMFAMILIAR DEL ATLANTICO,12539,226625,220380,3018,1172,0,2055,299594,526219
8,Caja de Compensacion Familiar de Fenalco - Andi COMFENALCO CARTAGENA,17088,207103,204022,620,243,0,2218,281712,488815
9,Caja de Compensacion Familiar de Cartagena y Bolivar Comfamiliar,4295,51452,51395,54,3,0,0,69914,121366
10,Caja de Compensacion Familiar de Boyacá - COMFABOY,15873,172940,170496,230,182,1701,331,185356,358296
11,Caja de Compensacion Familiar de Caldas COMFAMILIARES,11464,153986,145949,505,2321,3561,1650,189860,343846
13,Caja de Compensacion Familiar del Caquetá - COMFACA,3012,29203,28637,147,23,0,396,44723,73926
14,Caja de Compensacion Familiar del Cauca - COMFACAUCA,6201,97093,95213,481,1,766,632,167374,264467
15,Caja de Compensacion Familiar del Cesar COMFACESAR,6231,111032,108578,306,96,0,2052,221243,332275
16,Caja de Compensacion Familiar de Córdoba COMFACOR,6847,46343,46140,199,4,0,0,48581,94924
21,Caja de Compensacion Familiar CAFAM,43822,839911,669701,147202,7990,5967,9051,875139,1715050
22,Caja Colombiana de Subsidio Familiar COLSUBSIDIO,77531,1602768,1554488,15126,9443,6709,17002,1713250,3316018
24,Caja de Compensacion Familiar COMPENSAR,82582,1270018,1169248,59562,19878,5856,15474,1463053,2733071
26,Caja de Compensacion Familiar de Cundinamarca - COMFACUNDI,1946,34825,34351,12,462,0,0,39910,74735
29,Caja de Compensacion Familiar del Choco,1424,26362,25628,343,106,0,285,50823,77185
30,Caja de Compensacion Familiar de la Guajira - COMFAGUAJIRA,2431,49295,47700,203,20,0,1372,85871,135166
32,Caja de Compensacion Familiar del Huila - COMFAMILIAR,9966,155141,102085,887,274,48688,3207,223851,378992
33,Caja de Compensacion Familiar del Magdalena,6675,102805,102526,139,51,89,0,193850,296655
34,Caja de Compensacion Familiar Regional del Meta COFREM,10477,194865,121176,734,182,69633,3140,178748,373613
35,Caja de Compensacion Familiar de Nariño,7113,98054,95552,226,276,20,1980,166144,264198
36,Caja de Compensacion Familiar del Oriente Colombiano COMFAORIENTE,5171,80616,54057,666,50,25812,31,138512,219128
37,Caja de Compensacion Familiar del Norte de Santander COMFANORTE,7737,121751,82157,386,61,39060,87,154009,275760
38,Caja de Compensacion Familiar de Barrancabermeja CAFABA,2018,25302,25289,11,2,0,0,34889,60191
39,Caja Santandereana de Subsidio Familiar CAJASAN,14990,159229,157931,344,33,921,0,221187,380416
40,Caja de Compensacion Familiar COMFENALCO SANTANDER,18198,227398,225379,1076,247,693,3,260954,488352
41,Caja de Compensacion Familiar de Sucre,5266,41460,41440,20,0,0,0,67935,109395
43,Caja de Compensacion Familiar de Fenalco COMFENALCO QUINDIO,8416,83238,81433,991,569,243,2,96174,179412
44,Caja de Compensacion Familiar de Risaralda- COMFAMILIAR RISARALDA,17280,172793,170790,163,139,1701,0,195968,368761
46,Caja de Compensacion Familiar del Sur del Tolima CAFASUR,563,5134,5114,20,0,0,0,10636,15770
48,Caja de Compensacion Familiar del Tolima COMFATOLIMA,3621,67752,67501,172,74,5,0,74930,142682
50,Caja de Compensacion Familiar de Fenalco del Tolima - COMFENALCO,7805,104290,102326,494,191,39,1240,126019,230309
56,Caja de Compensacion Familiar del Valle del Cauca - COMFENALCO VALLE,11472,295486,279920,957,952,3385,10272,332468,627954
57,Caja de Compensacion Familiar del Valle del Cauca COMFAMILIAR ANDI - COMFANDI,42585,597545,584620,7060,5865,0,0,744237,1341782
63,Caja de Compensacion Familiar del Putumayo - COMFAMILIAR PUTUMAYO,1734,22820,21939,145,11,0,725,39386,62206
64,Caja de Compensación Familiar de San Andrés y Providencia Islas CAJASAI,1449,16378,16245,133,0,0,0,16375,32753
65,Caja de Compensacion Familiar del Amazonas CAFAMAZ,675,6055,5817,94,2,0,142,14657,20712
67,Caja de Compensacion Familiar de Arauca COMFIAR,1988,18389,18022,108,4,0,255,29921,48310
68,Caja de Compensacion Familiar Campesina COMCAJA,1383,10223,10219,4,0,0,0,15675,25898
69,Caja de Compensacion Familiar del Casanare - COMFACASANARE,4436,53559,52515,109,3,0,932,67207,120766
