Código,CCF,Empresas Afiliadas,Total Afiliados Cajas Compensacion Familiar,Trabajadores Afiliados Dependientes,Afiliados Facultativos Independientes,Afiliados Pensionados,Afiliados Fidelidad,No Afiliados con Derecho a Subsidio,Personas Cargo,Total Población Cubierta
2,Caja de Compensacion Familiar Camacol COMFAMILIAR CAMACOL,1239,21158,21118,40,0,0,0,31043,52201
3,Caja de Compensacion Familiar COMFENALCO ANTIOQUIA,19035,401474,389015,6665,1918,82,3794,451260,852734
4,Caja de Compensacion Familiar de Antioquia COMFAMA,89404,1109655,1069350,16447,4087,8401,11370,1352174,2461829
5,Caja de Compensación Familiar CAJACOPI BARRANQUILLA,2859,50586,50336,117,49,0,84,93102,143688
6,Caja de Compensacion Familiar de Barranquilla COMBARRANQUILLA,9541,148917,143237,1902,182,0,3596,193004,341921
7,Caja de Compensación Familiar COMFAMILIAR DEL ATLANTICO,12490,229205,222780,3029,1189,0,2207,301764,530969
8,Caja de Compensacion Familiar de Fenalco - Andi COMFENALCO CARTAGENA,17534,213214,209936,628,237,0,2413,280038,493252
9,Caja de Compensacion Familiar de Cartagena y Bolivar Comfamiliar,4352,53028,52915,110,3,0,0,71593,124621
10,Caja de Compensacion Familiar de Boyacá - COMFABOY,16180,179970,172615,363,96,1762,5134,197218,377188
11,Caja de Compensacion Familiar de Caldas COMFAMILIARES,11637,156492,148463,545,2366,3609,1509,192217,348709
13,Caja de Compensacion Familiar del Caquetá - COMFACA,3137,29791,29027,159,25,0,580,45748,75539
14,Caja de Compensacion Familiar del Cauca - COMFACAUCA,6259,98869,96791,565,1,830,682,169443,268312
15,Caja de Compensacion Familiar del Cesar COMFACESAR,6348,111438,109273,295,94,0,1776,222147,333585
16,Caja de Compensacion Familiar de Córdoba COMFACOR,6864,112957,112682,267,8,0,0,120463,233420
21,Caja de Compensacion Familiar CAFAM,44520,847228,679184,148358,8219,6085,5382,878377,1725605
22,Caja Colombiana de Subsidio Familiar COLSUBSIDIO,78935,1640521,1594054,15594,9470,6812,14591,1742352,3382873
24,Caja de Compensacion Familiar COMPENSAR,85125,1330427,1180820,59817,20082,6003,63705,1572129,2902556
26,Caja de Compensacion Familiar de Cundinamarca - COMFACUNDI,1942,33553,33061,12,480,0,0,37324,70877
29,Caja de Compensacion Familiar del Choco,1453,27994,27260,346,145,0,243,54555,82549
30,Caja de Compensacion Familiar de la Guajira - COMFAGUAJIRA,2421,49400,48540,146,20,0,694,86744,136144
32,Caja de Compensacion Familiar del Huila - COMFAMILIAR,10269,156256,106208,939,296,45802,3011,225994,382250
33,Caja de Compensacion Familiar del Magdalena,6820,103095,102747,150,61,137,0,190377,293472
34,Caja de Compensacion Familiar Regional del Meta COFREM,10329,196244,123941,661,188,67924,3530,182926,379170
35,Caja de Compensacion Familiar de Nariño,7171,99086,96739,196,288,19,1844,167888,266974
36,Caja de Compensacion Familiar del Oriente Colombiano COMFAORIENTE,5183,80575,55105,670,49,24682,69,138587,219162
37,Caja de Compensacion Familiar del Norte de Santander COMFANORTE,7781,122258,82863,395,34,38792,174,155625,277883
38,Caja de Compensacion Familiar de Barrancabermeja CAFABA,2003,25811,25800,9,2,0,0,30645,56456
39,Caja Santandereana de Subsidio Familiar CAJASAN,15256,167812,165028,447,42,923,1372,223260,391072
40,Caja de Compensacion Familiar COMFENALCO SANTANDER,18278,235529,233455,1084,257,702,31,264628,500157
41,Caja de Compensacion Familiar de Sucre,5439,43282,43253,28,1,0,0,73091,116373
43,Caja de Compensacion Familiar de Fenalco COMFENALCO QUINDIO,8538,83187,81270,1055,589,264,9,97391,180578
44,Caja de Compensacion Familiar de Risaralda- COMFAMILIAR RISARALDA,16522,174356,172319,170,150,1717,0,199525,373881
46,Caja de Compensacion Familiar del Sur del Tolima CAFASUR,559,5244,5217,27,0,0,0,10956,16200
48,Caja de Compensacion Familiar del Tolima COMFATOLIMA,3705,65235,64951,203,75,6,0,73491,138726
50,Caja de Compensacion Familiar de Fenalco del Tolima - COMFENALCO,7769,109824,102691,487,192,40,6414,140627,250451
56,Caja de Compensacion Familiar del Valle del Cauca - COMFENALCO VALLE,11624,314628,284271,1036,986,3391,24944,364307,678935
57,Caja de Compensacion Familiar del Valle del Cauca COMFAMILIAR ANDI - COMFANDI,44237,617826,604824,7014,5988,0,0,765221,1383047
63,Caja de Compensacion Familiar del Putumayo - COMFAMILIAR PUTUMAYO,1749,22297,21749,154,11,0,383,38269,60566
64,Caja de Compensación Familiar de San Andrés y Providencia Islas CAJASAI,1471,14921,14285,79,10,0,547,20750,35671
65,Caja de Compensacion Familiar del Amazonas CAFAMAZ,699,6238,6037,100,3,0,98,15199,21437
67,Caja de Compensacion Familiar de Arauca COMFIAR,2007,18263,17854,102,1,0,306,29996,48259
68,Caja de Compensacion Familiar Campesina COMCAJA,1405,10748,10726,22,0,0,0,16444,27192
69,Caja de Compensacion Familiar del Casanare - COMFACASANARE,4503,55328,54292,113,4,0,919,71743,127071
