Código,CCF,Empresas Afiliadas,Total Afiliados Cajas Compensacion Familiar,Trabajadores Afiliados Dependientes,Afiliados Facultativos Independientes,Afiliados Pensionados,Afiliados Fidelidad,No Afiliados con Derecho a Subsidio,Personas Cargo,Total Población Cubierta
2,Caja de Compensacion Familiar Camacol COMFAMILIAR CAMACOL,1226,19920,19863,57,0,0,0,29837,49757
3,Caja de Compensacion Familiar COMFENALCO ANTIOQUIA,19170,414263,400974,6946,1816,114,4413,464136,878399
4,Caja de Compensacion Familiar de Antioquia COMFAMA,92082,1138045,1094441,17927,4574,9226,11877,1344425,2482470
5,Caja de Compensación Familiar CAJACOPI BARRANQUILLA,2914,52889,52633,126,48,0,82,95861,148750
6,Caja de Compensacion Familiar de Barranquilla COMBARRANQUILLA,9942,150662,146261,1941,207,0,2253,194808,345470
7,Caja de Compensación Familiar COMFAMILIAR DEL ATLANTICO,13233,232181,226614,2721,1266,0,1580,306746,538927
8,Caja de Compensacion Familiar de Fenalco - Andi COMFENALCO CARTAGENA,18827,215527,212634,644,274,0,1975,281735,497262
9,Caja de Compensacion Familiar de Cartagena y Bolivar Comfamiliar,4506,55133,55000,120,13,0,0,78046,133179
10,Caja de Compensacion Familiar de Boyacá - COMFABOY,15130,180485,177705,478,108,1955,239,189511,369996
11,Caja de Compensacion Familiar de Caldas COMFAMILIARES,11866,159581,151121,643,2469,3770,1578,193844,353425
13,Caja de Compensacion Familiar del Caquetá - COMFACA,3096,29961,29468,159,24,0,310,45605,75566
14,Caja de Compensacion Familiar del Cauca - COMFACAUCA,6584,104362,101792,449,342,1058,721,177360,281722
15,Caja de Compensacion Familiar del Cesar COMFACESAR,6496,111561,108972,284,99,0,2206,218639,330200
16,Caja de Compensacion Familiar de Córdoba COMFACOR,6567,117050,116782,264,4,0,0,130738,247788
21,Caja de Compensacion Familiar CAFAM,45003,844856,668369,154402,8721,6524,6840,820827,1665683
22,Caja Colombiana de Subsidio Familiar COLSUBSIDIO,83043,1719743,1674658,17341,9360,7132,11252,1831247,3550990
24,Caja de Compensacion Familiar COMPENSAR,87115,1221901,1116886,62305,21203,6469,15038,1478112,2700013
26,Caja de Compensacion Familiar de Cundinamarca - COMFACUNDI,1916,35506,34540,26,461,0,479,38051,73557
29,Caja de Compensacion Familiar del Choco,1540,21715,20613,423,130,0,549,48742,70457
30,Caja de Compensacion Familiar de la Guajira - COMFAGUAJIRA,2480,53892,52485,88,19,0,1300,93708,147600
32,Caja de Compensacion Familiar del Huila - COMFAMILIAR,10249,160864,110683,976,305,44728,4172,230001,390865
33,Caja de Compensacion Familiar del Magdalena,7070,104664,104250,173,81,160,0,204379,309043
34,Caja de Compensacion Familiar Regional del Meta COFREM,10760,204504,142947,685,187,60685,0,213432,417936
35,Caja de Compensacion Familiar de Nariño,7275,104944,102391,207,332,8,2006,175521,280465
36,Caja de Compensacion Familiar del Oriente Colombiano COMFAORIENTE,4976,78366,58106,55,54,20090,61,131507,209873
37,Caja de Compensacion Familiar del Norte de Santander COMFANORTE,8197,125330,85401,459,38,39348,84,149943,275273
38,Caja de Compensacion Familiar de Barrancabermeja CAFABA,2080,27704,27655,9,23,4,13,32728,60432
39,Caja Santandereana de Subsidio Familiar CAJASAN,15806,172941,170738,578,35,4,1586,218813,391754
40,Caja de Compensacion Familiar COMFENALCO SANTANDER,18290,240275,238200,1159,193,721,2,262254,502529
41,Caja de Compensacion Familiar de Sucre,5183,51368,50921,103,8,17,319,79138,130506
43,Caja de Compensacion Familiar de Fenalco COMFENALCO QUINDIO,8578,85897,83718,1197,703,273,6,101454,187351
44,Caja de Compensacion Familiar de Risaralda- COMFAMILIAR RISARALDA,15492,176943,174621,210,180,1932,0,198279,375222
46,Caja de Compensacion Familiar del Sur del Tolima CAFASUR,564,4682,4649,33,0,0,0,9561,14243
48,Caja de Compensacion Familiar del Tolima COMFATOLIMA,3813,63264,62936,226,90,12,0,68722,131986
50,Caja de Compensacion Familiar de Fenalco del Tolima - COMFENALCO,7935,119842,118164,572,218,52,836,141210,261052
56,Caja de Compensacion Familiar del Valle del Cauca - COMFENALCO VALLE,11835,308369,294997,5168,1095,3375,3734,334246,642615
57,Caja de Compensacion Familiar del Valle del Cauca COMFAMILIAR ANDI - COMFANDI,44400,684136,669735,7980,6421,0,0,752297,1436433
63,Caja de Compensacion Familiar del Putumayo - COMFAMILIAR PUTUMAYO,1811,24618,23724,167,12,0,715,42413,67031
64,Caja de Compensación Familiar de San Andrés y Providencia Islas CAJASAI,1466,16837,16713,124,0,0,0,31832,48669
65,Caja de Compensacion Familiar del Amazonas CAFAMAZ,618,6022,5642,52,1,0,327,15150,21172
67,Caja de Compensacion Familiar de Arauca COMFIAR,1879,19314,18793,102,0,0,419,31180,50494
68,Caja de Compensacion Familiar Campesina COMCAJA,1491,11735,11719,16,0,0,0,17283,29018
69,Caja de Compensacion Familiar del Casanare - COMFACASANARE,4677,55252,54168,192,2,0,890,75016,130268
