Código,CCF,Empresas Afiliadas,Total Afiliados Cajas Compensacion Familiar,Trabajadores Afiliados Dependientes,Afiliados Facultativos Independientes,Afiliados Pensionados,Afiliados Fidelidad,No Afiliados con Derecho a Subsidio,Personas Cargo,Total Población Cubierta
2,Caja de Compensacion Familiar Camacol COMFAMILIAR CAMACOL,1224,19987,19933,54,0,0,0,30282,50269
3,Caja de Compensacion Familiar COMFENALCO ANTIOQUIA,19155,408882,395093,6876,1834,106,4973,461447,870329
4,Caja de Compensacion Familiar de Antioquia COMFAMA,91776,1129743,1087309,17733,4498,9082,11121,1355995,2485738
5,Caja de Compensación Familiar CAJACOPI BARRANQUILLA,2979,51990,51817,125,48,0,0,94405,146395
6,Caja de Compensacion Familiar de Barranquilla COMBARRANQUILLA,9950,149884,145716,1932,204,0,2032,194615,344499
7,Caja de Compensación Familiar COMFAMILIAR DEL ATLANTICO,13087,231672,226099,2734,1256,0,1583,307003,538675
8,Caja de Compensacion Familiar de Fenalco - Andi COMFENALCO CARTAGENA,18618,213978,210791,640,272,0,2275,282237,496215
9,Caja de Compensacion Familiar de Cartagena y Bolivar Comfamiliar,4479,55501,55426,73,2,0,0,77326,132827
10,Caja de Compensacion Familiar de Boyacá - COMFABOY,16489,178790,175959,458,107,1913,353,188875,367665
11,Caja de Compensacion Familiar de Caldas COMFAMILIARES,11866,160533,152061,649,2450,3759,1614,195191,355724
13,Caja de Compensacion Familiar del Caquetá - COMFACA,3093,29567,29056,157,24,0,330,45454,75021
14,Caja de Compensacion Familiar del Cauca - COMFACAUCA,6445,103455,100672,452,331,1037,963,176320,279775
15,Caja de Compensacion Familiar del Cesar COMFACESAR,6510,112539,110690,282,103,0,1464,219479,332018
16,Caja de Compensacion Familiar de Córdoba COMFACOR,6590,116184,115923,257,4,0,0,129470,245654
21,Caja de Compensacion Familiar CAFAM,45451,856510,684487,151985,8646,6446,4946,827858,1684368
22,Caja Colombiana de Subsidio Familiar COLSUBSIDIO,82406,1697978,1651413,16801,9512,7037,13215,1825924,3523902
24,Caja de Compensacion Familiar COMPENSAR,87498,1214151,1107650,61828,21023,6386,17264,1484176,2698327
26,Caja de Compensacion Familiar de Cundinamarca - COMFACUNDI,1949,35642,34603,25,453,0,561,38217,73859
29,Caja de Compensacion Familiar del Choco,1514,21950,20926,429,130,0,465,49409,71359
30,Caja de Compensacion Familiar de la Guajira - COMFAGUAJIRA,2438,54028,53347,86,19,0,576,92625,146653
32,Caja de Compensacion Familiar del Huila - COMFAMILIAR,10168,160579,112469,946,304,44131,2729,230306,390885
33,Caja de Compensacion Familiar del Magdalena,7021,104589,104188,170,70,161,0,203774,308363
34,Caja de Compensacion Familiar Regional del Meta COFREM,10653,207664,135464,677,157,70975,391,205449,413113
35,Caja de Compensacion Familiar de Nariño,7269,104175,101695,212,326,12,1930,175227,279402
36,Caja de Compensacion Familiar del Oriente Colombiano COMFAORIENTE,5048,82767,58013,539,51,24019,145,140858,223625
37,Caja de Compensacion Familiar del Norte de Santander COMFANORTE,8127,124702,83602,462,35,40519,84,151216,275918
38,Caja de Compensacion Familiar de Barrancabermeja CAFABA,2093,27491,27433,10,22,3,23,32411,59902
39,Caja Santandereana de Subsidio Familiar CAJASAN,15633,172924,169757,539,41,937,1650,220985,393909
40,Caja de Compensacion Familiar COMFENALCO SANTANDER,18328,242376,240289,1169,191,719,8,265298,507674
41,Caja de Compensacion Familiar de Sucre,5122,48649,48168,105,1,17,358,77892,126541
43,Caja de Compensacion Familiar de Fenalco COMFENALCO QUINDIO,8563,84399,82239,1178,700,270,12,100501,184900
44,Caja de Compensacion Familiar de Risaralda- COMFAMILIAR RISARALDA,15501,175347,173065,202,173,1907,0,197977,373324
46,Caja de Compensacion Familiar del Sur del Tolima CAFASUR,560,4816,4782,34,0,0,0,9868,14684
48,Caja de Compensacion Familiar del Tolima COMFATOLIMA,3740,64331,64012,220,89,10,0,70429,134760
50,Caja de Compensacion Familiar de Fenalco del Tolima - COMFENALCO,7928,116492,111796,545,211,51,3889,138972,255464
56,Caja de Compensacion Familiar del Valle del Cauca - COMFENALCO VALLE,11764,310426,294850,4186,1072,3372,6946,339710,650136
57,Caja de Compensacion Familiar del Valle del Cauca COMFAMILIAR ANDI - COMFANDI,43798,673591,659201,7992,6398,0,0,746935,1420526
63,Caja de Compensacion Familiar del Putumayo - COMFAMILIAR PUTUMAYO,1751,24263,23712,184,12,0,355,41845,66108
64,Caja de Compensación Familiar de San Andrés y Providencia Islas CAJASAI,1461,16785,16664,121,0,0,0,31860,48645
65,Caja de Compensacion Familiar del Amazonas CAFAMAZ,603,6209,6016,53,1,0,139,15347,21556
67,Caja de Compensacion Familiar de Arauca COMFIAR,1872,19130,18652,101,0,0,377,31082,50212
68,Caja de Compensacion Familiar Campesina COMCAJA,1478,11370,11354,16,0,0,0,17015,28385
69,Caja de Compensacion Familiar del Casanare - COMFACASANARE,4510,55392,54474,172,1,0,745,75275,130667
